'1','---    ','PRODUCCION MEJILLON EN BATEA','---'
'1','253.2  ','FAB. COLORANTES Y PIGMENTOS','2532'
'1','253.3  ','FAB. PINTURAS, BARNICES Y LACAS','2533'
'1','253.4  ','FAB. DE TINTAS DE IMPRENTA','2534'
'1','253.5  ','TRATAMIENTO ACEITES PARA USO INDUSTRIAL','2535'
'1','253.6  ','FAB. ACEITES ESENCIALES Y SUST. AROMAT.','2536'
'1','253.7  ','FAB. COLAS Y GELATINAS','2537'
'1','253.8  ','FAB. EXPLOSIVOS','2538'
'1','253.9  ','FAB. OTROS PTOS. QUIMICOS USO INDUSTRIAL','2539'
'1','254.1  ','FAB. PTOS. FARMACEUTICOS DE BASE','2541'
'1','254.2  ','FAB. ESPECIALIDADES FARMACEUTICAS','2542'
'1','255.1  ','FAB. JABONES COMUNES, DETERGENTES, LEJIA','2551'
'1','255.2  ','FAB. JABONES TOCADOR Y PTOS. PERFUMERIA','2552'
'1','255.3  ','FAB. DERIVADOS DE CERAS Y PARAFINAS','2553'
'1','255.4  ','FAB. MATERIAL FOTOGRAFICO SENSIBLE','2554'
'1','255.5  ','FAB. ART. PIROTECNICOS, Y FOSFOROS','2555'
'1','255.9  ','FAB. OTROS PTOS. QUIMICOS DE CONSUMO','2559'
'1','311.1  ','FUNDICION PIEZAS DE HIERRO Y ACERO','3111'
'1','311.2  ','FUNDICION PIEZAS METALES NO FERREOS','3112'
'1','312    ','FORJA,ESTAMPADO,EMBUTICION,TROQUELADO','312'
'1','312.1  ','PIEZAS FORJADAS','3121'
'1','312.2  ','PIEZAS ESTAMPADAS O TROQUELADAS','3122'
'1','312.3  ','PIEZAS EMBUTIDAS, CORTADAS','3123'
'1','313    ','TRATAMIENTO Y RECUBRIMIENTO DE METALES','313'
'1','313.1  ','TRATAMIENTO DE METALES','3131'
'1','313.2  ','RECUBRIMIENTOS METALICOS','3132'
'1','313.9  ','TRAT. PROTECCION DE METALES','3139'
'1','314.1  ','FAB. ART. CARPINTERIA METALICA','3141'
'1','314.2  ','FAB. ESTRUCTURAS METALICAS','3142'
'1','315    ','CONSTRUCC. DEPOSITOS Y CALDERERIA','315'
